Year,Month,Mon,Station,Gear,Catch,Effort
1998,Apr,4,47,Fyke,0.114,553
1998,Apr,4,47,Gillnet,15.492,39964
1998,Apr,4,51,Gillnet,12.475,28309
1998,Apr,4,52,Fyke,0.113,457
1998,Apr,4,52,Gillnet,24.249,34206
1999,Apr,4,47,Fyke,0.184,213
1999,Apr,4,47,Gillnet,6.795,32298
1999,Apr,4,51,Gillnet,7.062,29886
1999,Apr,4,52,Fyke,0.202,1165
1999,Apr,4,52,Gillnet,8.756,30078
2000,Apr,4,47,Fyke,0.206,338
2000,Apr,4,47,Gillnet,11.622,37931
2000,Apr,4,51,Gillnet,12.284,42024
2000,Apr,4,51,Trawl,0.002,1
2000,Apr,4,52,Fyke,0.149,602
2000,Apr,4,52,Gillnet,14.792,37817
2001,Apr,4,47,Fyke,0.216,487
2001,Apr,4,47,Gillnet,9.299,36097
2001,Apr,4,51,Gillnet,9.192,39523
2001,Apr,4,52,Fyke,0.032,307
2001,Apr,4,52,Gillnet,11.109,33174
2002,Apr,4,47,Fyke,0.277,526
2002,Apr,4,47,Gillnet,13.942,34574
2002,Apr,4,51,Fyke,0.082,41
2002,Apr,4,51,Gillnet,11.154,37307
2002,Apr,4,52,Fyke,0.151,408
2002,Apr,4,52,Gillnet,13.029,30498
2003,Apr,4,47,Fyke,0.271,690
2003,Apr,4,47,Gillnet,11.573,32542
2003,Apr,4,51,Gillnet,9.292,31213
2003,Apr,4,52,Fyke,0.128,376
2003,Apr,4,52,Gillnet,12.573,27652
2004,Apr,4,47,Fyke,1.019,1414
2004,Apr,4,47,Gillnet,24.245,45155
2004,Apr,4,51,Fyke,0.012,548
2004,Apr,4,51,Gillnet,12.158,35163
2004,Apr,4,52,Fyke,0.225,371
2004,Apr,4,52,Gillnet,16.167,37844
2005,Apr,4,47,Fyke,1.657,2100
2005,Apr,4,47,Gillnet,25.574,50611
2005,Apr,4,51,Fyke,0.107,48
2005,Apr,4,51,Gillnet,8.069,32267
2005,Apr,4,52,Fyke,0.188,263
2005,Apr,4,52,Gillnet,15.12,40682
2006,Apr,4,47,Fyke,0.121,1444
2006,Apr,4,47,Gillnet,5.457,25061
2006,Apr,4,51,Gillnet,1.429,10767
2006,Apr,4,52,Fyke,0.154,299
2006,Apr,4,52,Gillnet,9.126,24556
2007,Apr,4,47,Fyke,0.26,1394
2007,Apr,4,47,Gillnet,14.825,42453
2007,Apr,4,51,Fyke,0.188,204
2007,Apr,4,51,Gillnet,6.199,23053
2007,Apr,4,52,Fyke,0.991,234
2007,Apr,4,52,Gillnet,20.521,43685
2008,Apr,4,47,Fyke,0.927,1472
2008,Apr,4,47,Gillnet,10.098,40357
2008,Apr,4,51,Fyke,0.14,303
2008,Apr,4,51,Gillnet,3.834,19443
2008,Apr,4,52,Fyke,1.026,457
2008,Apr,4,52,Gillnet,16.276,36338
2009,Apr,4,47,Fyke,0.13,532
2009,Apr,4,47,Gillnet,8.069,39624
2009,Apr,4,51,Fyke,0.031,136
2009,Apr,4,51,Gillnet,1.933,16457
2009,Apr,4,52,Fyke,0.608,296
2009,Apr,4,52,Gillnet,15.001,44721
2010,Apr,4,47,Fyke,0.102,373
2010,Apr,4,47,Gillnet,5.017,24545
2010,Apr,4,51,Fyke,0.175,17
2010,Apr,4,51,Gillnet,1.758,10613
2010,Apr,4,52,Fyke,0.254,327
2010,Apr,4,52,Gillnet,10.438,38467
2011,Apr,4,47,Fyke,0.137,472
2011,Apr,4,47,Gillnet,8.529,26779
2011,Apr,4,51,Fyke,0.21,10
2011,Apr,4,51,Gillnet,4.16,12758
2011,Apr,4,52,Fyke,0.22,199
2011,Apr,4,52,Gillnet,8.69,28385
2012,Apr,4,47,Fyke,0.593,1313
2012,Apr,4,47,Gillnet,15.822,46215
2012,Apr,4,47,Others,0.024,67
2012,Apr,4,51,Gillnet,3.222,14290
2012,Apr,4,52,Fyke,1.455,311
2012,Apr,4,52,Gillnet,23.168,44679
2013,Apr,4,47,Fyke,0.054,297
2013,Apr,4,47,Gillnet,6.606,22728
2013,Apr,4,51,Gillnet,1.615,3233
2013,Apr,4,52,Fyke,0.074,186
2013,Apr,4,52,Gillnet,5.637,15690
2014,Apr,4,47,Fyke,0.644,2137
2014,Apr,4,47,Gillnet,8.736,43481
2014,Apr,4,51,Fyke,0.051,21
2014,Apr,4,51,Gillnet,0.467,6384
2014,Apr,4,52,Fyke,0.985,474
2014,Apr,4,52,Gillnet,8.586,36659
2014,Apr,4,52,Others,0.004,9
2015,Apr,4,47,Fyke,0.148,1279
2015,Apr,4,47,Gillnet,13.829,37396
2015,Apr,4,51,Fyke,0.148,330
2015,Apr,4,51,Gillnet,0.102,2624
2015,Apr,4,52,Fyke,0.874,330
2015,Apr,4,52,Gillnet,8.439,29265
2016,Apr,4,47,Fyke,0.201,882
2016,Apr,4,47,Gillnet,14.759,34467
2016,Apr,4,51,Gillnet,2.36,5473
2016,Apr,4,52,Fyke,0.691,449
2016,Apr,4,52,Gillnet,8.907,24743
2017,Apr,4,47,Fyke,0.472,1181
2017,Apr,4,47,Gillnet,14.223,32166
2017,Apr,4,51,Fyke,0.03,20
2017,Apr,4,51,Gillnet,5.678,8335
2017,Apr,4,51,Line,0.011,20
2017,Apr,4,52,Fyke,0.461,315
2017,Apr,4,52,Gillnet,9.496,27556
2018,Apr,4,47,Fyke,0.163,427
2018,Apr,4,47,Gillnet,6.617,15732
2018,Apr,4,47,Others,0.005,400
2018,Apr,4,51,Fyke,0.004,32
2018,Apr,4,51,Gillnet,0.403,2046
2018,Apr,4,52,Fyke,0.175,150
2018,Apr,4,52,Gillnet,3.662,14634
2019,Apr,4,47,Fyke,0.203,2158
2019,Apr,4,47,Gillnet,9.152,34647
2019,Apr,4,51,Fyke,0.001,60
2019,Apr,4,51,Gillnet,0.48,2211
2019,Apr,4,52,Fyke,0.356,290
2019,Apr,4,52,Gillnet,7.36,13553
2019,Apr,4,52,Others,0.016,8
2020,Apr,4,47,Fyke,0.042,1410
2020,Apr,4,47,Gillnet,6.375,25903
2020,Apr,4,47,Line,0.01,300
2020,Apr,4,51,Gillnet,0.484,1926
2020,Apr,4,52,Fyke,0.345,219
2020,Apr,4,52,Gillnet,3.804,10004
1998,Aug,8,47,Fyke,0.023,56
1998,Aug,8,47,Gillnet,0.114,3224
1998,Aug,8,51,Gillnet,0.112,3912
1998,Aug,8,52,Fyke,0.027,182
1998,Aug,8,52,Gillnet,1.664,6879
1998,Aug,8,52,Others,0.018,61
1999,Aug,8,47,Fyke,0.063,154
1999,Aug,8,47,Gillnet,0.199,1934
1999,Aug,8,51,Gillnet,0.19,4566
1999,Aug,8,52,Fyke,0.012,138
1999,Aug,8,52,Gillnet,4.226,8157
1999,Aug,8,52,Others,0.017,11
2000,Aug,8,47,Fyke,0.043,148
2000,Aug,8,47,Gillnet,0.391,4242
2000,Aug,8,51,Fyke,0.007,34
2000,Aug,8,51,Gillnet,0.102,4151
2000,Aug,8,52,Fyke,0.083,755
2000,Aug,8,52,Gillnet,1.024,6454
2000,Aug,8,52,Others,0.012,252
2001,Aug,8,47,Fyke,0.049,64
2001,Aug,8,47,Gillnet,0.192,3493
2001,Aug,8,51,Gillnet,0.072,2912
2001,Aug,8,52,Fyke,0.009,106
2001,Aug,8,52,Gillnet,1.239,4860
2001,Aug,8,52,Others,0.011,1
2002,Aug,8,47,Fyke,0.033,136
2002,Aug,8,47,Gillnet,0.324,8979
2002,Aug,8,51,Gillnet,0.045,1502
2002,Aug,8,51,Others,0.012,5
2002,Aug,8,52,Fyke,0.034,148
2002,Aug,8,52,Gillnet,0.597,3713
2003,Aug,8,47,Fyke,0.42,414
2003,Aug,8,47,Gillnet,3.663,19612
2003,Aug,8,51,Gillnet,0.312,3720
2003,Aug,8,52,Fyke,0.037,148
2003,Aug,8,52,Gillnet,4.004,6954
2003,Aug,8,52,Others,0.066,11
2004,Aug,8,47,Fyke,0.303,438
2004,Aug,8,47,Gillnet,1.53,12527
2004,Aug,8,47,Line,0.033,56
2004,Aug,8,51,Gillnet,0.052,1581
2004,Aug,8,52,Fyke,0.281,153
2004,Aug,8,52,Gillnet,1.209,5754
2005,Aug,8,47,Fyke,0.195,338
2005,Aug,8,47,Gillnet,1.575,19290
2005,Aug,8,51,Fyke,0.001,19
2005,Aug,8,51,Gillnet,0.053,1350
2005,Aug,8,51,Line,0.005,11
2005,Aug,8,52,Fyke,0.134,225
2005,Aug,8,52,Gillnet,2.848,8023
2006,Aug,8,47,Fyke,0.143,426
2006,Aug,8,47,Gillnet,0.796,14432
2006,Aug,8,51,Gillnet,0.082,1498
